Wavelength [nm], normalized IR filter
817.31676983,0.00016505
818.24071697,0.00018695
819.20324908,0.00021701
820.23537421,0.00033787
821.41292388,0.00042504
822.28333111,0.00057159
823.15546539,0.00081161
824.06710537,0.00105792
825.13216271,0.00141776
826.13270504,0.00184817
827.20281064,0.00255365
828.25939925,0.00327366
829.22614911,0.00418170
830.35865239,0.00534603
831.31790537,0.00670244
832.30552240,0.00825445
833.37791582,0.00996056
834.35935498,0.01157333
835.31388131,0.01357599
836.29493398,0.01530533
837.32904211,0.01705838
838.48669328,0.01886998
839.34086008,0.02006992
840.28558130,0.02100954
841.31891583,0.02181286
842.46522518,0.02216419
843.36743590,0.02228038
844.33175086,0.02221979
845.30747303,0.02192037
846.23820181,0.02160222
847.29930644,0.02115007
848.30596476,0.02068068
849.34450504,0.02009371
850.42493891,0.01956476
851.39998592,0.01897623
852.43561801,0.01854776
853.43681361,0.01816243
854.42121561,0.01781276
855.47066395,0.01751488
856.36005832,0.01730738
857.34487675,0.01718383
858.39050663,0.01704272
859.43192963,0.01705902
860.45119944,0.01703420
861.40455523,0.01718142
862.43067214,0.01731376
863.54930261,0.01741424
864.50254949,0.01756096
865.41827317,0.01771072
866.37624609,0.01777445
867.39630575,0.01776166
868.35493223,0.01767744
869.32684726,0.01765552
870.33503571,0.01751214
871.37586481,0.01729575
872.45938647,0.01711799
873.34622919,0.01689253
874.41433904,0.01667400
875.50508382,0.01639960
876.44851386,0.01611876
877.51601833,0.01589366
878.40021530,0.01558300
879.33078686,0.01531893
880.38396926,0.01491226
881.37438609,0.01445001
882.42120573,0.01380328
883.43918112,0.01294190
884.44467343,0.01163863
885.51475338,0.01066858
886.40274026,0.00923742
887.43747214,0.00766071
888.47487491,0.00622455
889.36953900,0.00493701
890.37085067,0.00389833
891.28771044,0.00290097
892.22745898,0.00223794
893.23321014,0.00152640
894.33917966,0.00113780
895.24563681,0.00080102
896.23477100,0.00059641
897.37230326,0.00041224
898.30809706,0.00028721
899.30891491,0.00023449
900.28308947,0.00015454
901.10944117,0.00012151
901.45889963,0.00009458
