Wavelength [nm], normalized R filter
622.06379586,0.00047927
622.90996227,0.00064086
623.90671084,0.00087837
625.04559296,0.00137519
626.04176989,0.00200179
627.04944877,0.00311110
628.05557780,0.00407177
629.04788008,0.00566488
630.08827192,0.00736599
630.98656552,0.00955487
631.94925865,0.01192389
633.03134897,0.01398824
633.99148354,0.01737535
635.07452630,0.02035187
636.06400291,0.02375443
637.02720950,0.02605589
638.21678455,0.02858167
639.08097122,0.03018068
639.97809561,0.03108519
640.93392033,0.03149449
642.03671244,0.03168392
642.89077062,0.03138610
643.92997048,0.03109590
645.01292836,0.03093621
645.97638154,0.03080626
647.07268496,0.03035430
648.00045595,0.03053546
648.97646609,0.03066052
650.05529110,0.03059623
651.00314205,0.03042499
651.91867964,0.03061418
652.89884483,0.03050862
653.93661159,0.03034634
655.01090208,0.03002952
655.88111628,0.02985545
656.94695537,0.02940367
658.02955915,0.02851147
658.94168505,0.02784433
659.86600720,0.02693942
660.81984143,0.02569505
661.84159864,0.02404902
662.94148736,0.02213608
663.99063239,0.02012042
664.94116546,0.01708659
665.93181638,0.01456884
666.94624717,0.01131849
667.88307513,0.00853106
668.84835226,0.00624074
669.77880603,0.00440724
670.71828450,0.00314017
671.80569016,0.00220138
672.70965861,0.00153339
673.77502031,0.00102363
674.86756040,0.00069951
